eventTime,roundNumber,roundTime,systemTime,matchLogItemType,entryValue,blueAddPoints,redAddPoints,score,blueGeneralPoints,redGeneralPoints,bluePoints,redPoints,bluePenalties,redPenalties,blueTotalPenalties,redTotalPenalties,blueGoldenPointHits,redGoldenPointHits,blueGoldenPointPenalties,redGoldenPointPenalties,goldenPointRound,entryValue,blueVideoQuota,redVideoQuota
1707725387926,1,1707714090000,1707725387926,START_MATCH,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
1707725387927,1,1707714090000,1707725387927,START_ROUND,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
1707725397893,1,1707714080044,1707725397893,TIMEOUT,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
1707725400160,1,1707714080043,1707725400160,RESUME,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
1707725404933,1,1707714075280,1707725404933,TIMEOUT,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
1707725406597,1,1707714075280,1707725406597,RESUME,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
1707725412120,1,1707714069757,1707725412120,BLUE_BODY_HIT,15,0,0,2-0,2,0,0,0,0,0,0,0,0,0,0,0,false,15,1,1
1707725412120,1,1707714069755,1707725412123,BLUE_BODY_POINT,SENSOR,2,0,2-0,2,0,2,0,0,0,0,0,0,0,0,0,false,SENSOR,1,1
1707725413291,1,1707714068596,1707725413291,TIMEOUT,,0,0,2-0,2,0,2,0,0,0,0,0,0,0,0,0,false,,1,1
1707725416170,1,1707714068596,1707725416171,BLUE_ADD_GAME_JEON,MAIN_CONTROL,0,0,2-1,2,1,2,0,1,0,0,0,0,0,0,0,false,MAIN_CONTROL,1,1
1707725417486,1,1707714068596,1707725417486,RESUME,,0,0,2-1,2,1,2,0,1,0,0,0,0,0,0,0,false,,1,1
1707725419297,1,1707714066786,1707725419297,BLUE_BODY_HIT,27,0,0,2-1,2,1,2,0,1,0,0,0,0,0,0,0,false,27,1,1
1707725419297,1,1707714066783,1707725419299,BLUE_BODY_POINT,SENSOR,2,0,4-1,4,1,4,0,1,0,0,0,0,0,0,0,false,SENSOR,1,1
1707725430026,1,1707714056067,1707725430026,TIMEOUT,,0,0,4-1,4,1,4,0,1,0,0,0,0,0,0,0,false,,1,1
1707725432603,1,1707714056065,1707725432603,RESUME,,0,0,4-1,4,1,4,0,1,0,0,0,0,0,0,0,false,,1,1
1707725435139,1,1707714053529,1707725435139,BLUE_BODY_HIT,8,0,0,4-1,4,1,4,0,1,0,0,0,0,0,0,0,false,8,1,1
1707725443687,1,1707714044993,1707725443687,TIMEOUT,,0,0,4-1,4,1,4,0,1,0,0,0,0,0,0,0,false,,1,1
1707725447051,1,1707714044990,1707725447052,BLUE_ADD_GAME_JEON,MAIN_CONTROL,0,0,4-2,4,2,4,0,2,0,0,0,0,0,0,0,false,MAIN_CONTROL,1,1
1707725448406,1,1707714044990,1707725448406,RESUME,,0,0,4-2,4,2,4,0,2,0,0,0,0,0,0,0,false,,1,1
1707725451534,1,1707714041872,1707725451534,TIMEOUT,,0,0,4-2,4,2,4,0,2,0,0,0,0,0,0,0,false,,1,1
1707725453478,1,1707714041872,1707725453478,RESUME,,0,0,4-2,4,2,4,0,2,0,0,0,0,0,0,0,false,,1,1
1707725467264,1,1707714028087,1707725467264,BLUE_BODY_HIT,19,0,0,6-2,6,2,4,0,2,0,0,0,0,0,0,0,false,19,1,1
1707725467264,1,1707714028083,1707725467268,BLUE_BODY_POINT,SENSOR,2,0,6-2,6,2,6,0,2,0,0,0,0,0,0,0,false,SENSOR,1,1
1707725468256,1,1707714027094,1707725468256,RED_BODY_HIT,11,0,0,6-2,6,2,6,0,2,0,0,0,0,0,0,0,false,11,1,1
1707725470778,1,1707714024572,1707725470778,BLUE_BODY_HIT,17,0,0,8-2,8,2,6,0,2,0,0,0,0,0,0,0,false,17,1,1
1707725470778,1,1707714024572,1707725470780,BLUE_BODY_POINT,SENSOR,2,0,8-2,8,2,8,0,2,0,0,0,0,0,0,0,false,SENSOR,1,1
1707725471343,1,1707714024008,1707725471343,BLUE_JUDGE_BODY_TECH,1,0,0,8-2,8,2,8,0,2,0,0,0,0,0,0,0,false,1,1,1
1707725471966,1,1707714023384,1707725471966,BLUE_JUDGE_BODY_TECH,1,0,0,8-2,8,2,8,0,2,0,0,0,0,0,0,0,false,1,1,1
1707725472278,1,1707714023083,1707725472278,TIMEOUT,,0,0,8-2,8,2,8,0,2,0,0,0,0,0,0,0,false,,1,1
1707725481660,1,1707714023081,1707725481660,SCOREBOARD,,0,0,8-2,8,2,8,0,2,0,0,0,0,0,0,0,false,,1,1
1707725483954,1,1707714023081,1707725483955,BLUE_BODY_TECH_POINT,SCOREBOARD_EDITOR,2,0,10-2,10,2,10,0,2,0,0,0,0,0,0,0,false,SCOREBOARD_EDITOR,1,1
1707725485187,1,1707714023081,1707725485187,RESUME,,0,0,10-2,10,2,10,0,2,0,0,0,0,0,0,0,false,,1,1
1707725489446,1,1707714018821,1707725489446,BLUE_BODY_HIT,18,0,0,12-2,12,2,10,0,2,0,0,0,0,0,0,0,false,18,1,1
1707725489446,1,1707714018819,1707725489450,BLUE_BODY_POINT,SENSOR,2,0,12-2,12,2,12,0,2,0,0,0,0,0,0,0,false,SENSOR,1,1
1707725493373,1,1707714014905,1707725493373,TIMEOUT,,0,0,12-2,12,2,12,0,2,0,0,0,0,0,0,0,false,,1,1
1707725495244,1,1707714014903,1707725495244,RESUME,,0,0,12-2,12,2,12,0,2,0,0,0,0,0,0,0,false,,1,1
1707725513850,1,1707714000000,1707725513850,END_ROUND,,0,0,12-2,12,2,12,0,2,0,2,0,0,0,0,0,false,,1,1
1707725574207,2,1707714090000,1707725574207,START_ROUND,,0,0,0-0,0,0,0,0,0,0,2,0,0,0,0,0,false,,1,1
1707725584168,2,1707714080039,1707725584168,BLUE_BODY_HIT,16,0,0,0-0,0,0,0,0,0,0,2,0,0,0,0,0,false,16,1,1
1707725584168,2,1707714080036,1707725584173,BLUE_BODY_POINT,SENSOR,2,0,2-0,2,0,2,0,0,0,2,0,0,0,0,0,false,SENSOR,1,1
1707725585871,2,1707714078346,1707725585871,TIMEOUT,,0,0,2-0,2,0,2,0,0,0,2,0,0,0,0,0,false,,1,1
1707725587740,2,1707714078346,1707725587740,RESUME,,0,0,2-0,2,0,2,0,0,0,2,0,0,0,0,0,false,,1,1
1707725602324,2,1707714063762,1707725602324,BLUE_BODY_HIT,15,0,0,4-0,4,0,2,0,0,0,2,0,0,0,0,0,false,15,1,1
1707725602324,2,1707714063760,1707725602328,BLUE_BODY_POINT,SENSOR,2,0,4-0,4,0,4,0,0,0,2,0,0,0,0,0,false,SENSOR,1,1
1707725608255,2,1707714057830,1707725608255,BLUE_BODY_HIT,16,0,0,4-0,4,0,4,0,0,0,2,0,0,0,0,0,false,16,1,1
1707725608255,2,1707714057828,1707725608259,BLUE_BODY_POINT,SENSOR,2,0,6-0,6,0,6,0,0,0,2,0,0,0,0,0,false,SENSOR,1,1
1707725610686,2,1707714055411,1707725610686,TIMEOUT,,0,0,6-0,6,0,6,0,0,0,2,0,0,0,0,0,false,,1,1
1707725612606,2,1707714055409,1707725612606,RESUME,,0,0,6-0,6,0,6,0,0,0,2,0,0,0,0,0,false,,1,1
1707725627104,2,1707714040921,1707725627104,TIMEOUT,,0,0,6-0,6,0,6,0,0,0,2,0,0,0,0,0,false,,1,1
1707725629025,2,1707714040921,1707725629025,RESUME,,0,0,6-0,6,0,6,0,0,0,2,0,0,0,0,0,false,,1,1
1707725634210,2,1707714035736,1707725634210,BLUE_BODY_HIT,9,0,0,6-0,6,0,6,0,0,0,2,0,0,0,0,0,false,9,1,1
1707725636716,2,1707714033230,1707725636717,BLUE_BODY_HIT,24,0,0,6-0,6,0,6,0,0,0,2,0,0,0,0,0,false,24,1,1
1707725636716,2,1707714033227,1707725636721,BLUE_BODY_POINT,SENSOR,2,0,8-0,8,0,8,0,0,0,2,0,0,0,0,0,false,SENSOR,1,1
1707725642087,2,1707714027870,1707725642087,TIMEOUT,,0,0,8-0,8,0,8,0,0,0,2,0,0,0,0,0,false,,1,1
1707725645330,2,1707714027868,1707725645331,BLUE_ADD_GAME_JEON,MAIN_CONTROL,0,0,8-1,8,1,8,0,1,0,2,0,0,0,0,0,false,MAIN_CONTROL,1,1
1707725647333,2,1707714027868,1707725647333,RESUME,,0,0,8-1,8,1,8,0,1,0,2,0,0,0,0,0,false,,1,1
1707725653988,2,1707714021223,1707725653988,TIMEOUT,,0,0,8-1,8,1,8,0,1,0,2,0,0,0,0,0,false,,1,1
1707725657241,2,1707714021221,1707725657241,BLUE_ADD_GAME_JEON,MAIN_CONTROL,0,0,8-2,8,2,8,0,2,0,2,0,0,0,0,0,false,MAIN_CONTROL,1,1
1707725658634,2,1707714021221,1707725658634,RESUME,,0,0,8-2,8,2,8,0,2,0,2,0,0,0,0,0,false,,1,1
1707725661715,2,1707714018140,1707725661715,RED_BODY_HIT,14,0,0,8-2,8,2,8,0,2,0,2,0,0,0,0,0,false,14,1,1
1707725661715,2,1707714018136,1707725661719,RED_BODY_POINT,SENSOR,0,2,8-4,8,4,8,2,2,0,2,0,0,0,0,0,false,SENSOR,1,1
1707725663178,2,1707714016687,1707725663179,TIMEOUT,,0,0,8-4,8,4,8,2,2,0,2,0,0,0,0,0,false,,1,1
1707725666548,2,1707714016684,1707725666548,RESUME,,0,0,8-4,8,4,8,2,2,0,2,0,0,0,0,0,false,,1,1
1707725674941,2,1707714008302,1707725674941,TIMEOUT,,0,0,8-4,8,4,8,2,2,0,2,0,0,0,0,0,false,,1,1
1707725677567,2,1707714008300,1707725677567,RESUME,,0,0,8-4,8,4,8,2,2,0,2,0,0,0,0,0,false,,1,1
1707725681424,2,1707714004453,1707725681424,TIMEOUT,,0,0,8-4,8,4,8,2,2,0,2,0,0,0,0,0,false,,1,1
1707725684558,2,1707714004453,1707725684558,RESUME,,0,0,8-4,8,4,8,2,2,0,2,0,0,0,0,0,false,,1,1
1707725685998,2,1707714003013,1707725685998,RED_BODY_HIT,8,0,0,8-4,8,4,8,2,2,0,2,0,0,0,0,0,false,8,1,1
1707725692066,2,1707714000000,1707725692066,END_ROUND,,0,0,8-4,8,4,8,2,2,0,4,0,0,0,0,0,false,,1,1
1707725692106,2,1707714000000,1707725692106,MATCH_FINAL_NEEDS_CONFIRM_DECISION,,0,0,8-4,8,4,8,2,2,0,4,0,0,0,0,0,false,,1,1
1707725693217,2,1707714000000,1707725693217,MATCH_FINISHED,BLUE - PTF,0,0,8-4,8,4,8,2,2,0,4,0,0,0,0,0,false,BLUE - PTF,1,1
