eventTime,roundNumber,roundTime,systemTime,matchLogItemType,entryValue,blueAddPoints,redAddPoints,score,blueGeneralPoints,redGeneralPoints,bluePoints,redPoints,bluePenalties,redPenalties,blueTotalPenalties,redTotalPenalties,blueGoldenPointHits,redGoldenPointHits,blueGoldenPointPenalties,redGoldenPointPenalties,goldenPointRound,entryValue,blueVideoQuota,redVideoQuota
1707918742239,1,1707886890000,1707918742239,OT_BLUE_HEAD_HIT,17,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,17,1,1
1707918750228,1,1707886890000,1707918750228,NETWORK_ERROR,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
1707918750521,1,1707886890000,1707918750521,OT_BLUE_HEAD_HIT,14,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,14,1,1
1707918776343,1,1707886890000,1707918776343,OT_BLUE_BODY_HIT,11,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,11,1,1
1707918777778,1,1707886890000,1707918777778,OT_BLUE_HEAD_HIT,10,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,10,1,1
1707918778244,1,1707886890000,1707918778244,MEETING,1,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,1,1,1
1707918779652,1,1707886890000,1707918779652,OT_RED_BODY_HIT,12,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,12,1,1
1707918781195,1,1707886890000,1707918781195,OT_RED_HEAD_HIT,16,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,16,1,1
1707918796119,1,1707886890000,1707918796119,START_ROUND,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
1707918796654,1,1707886889465,1707918796654,RED_BODY_HIT,2,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,2,1,1
1707918807233,1,1707886878896,1707918807233,TIMEOUT,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
1707918811845,1,1707886878896,1707918811845,RESUME,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
1707918815328,1,1707886875422,1707918815328,TIMEOUT,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
1707918817990,1,1707886875422,1707918817990,RESUME,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
1707918819222,1,1707886874189,1707918819222,BLUE_BODY_HIT,19,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,19,1,1
1707918821011,1,1707886872411,1707918821011,TIMEOUT,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
1707918823662,1,1707886872411,1707918823662,RESUME,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
1707918827098,1,1707886868974,1707918827098,RED_BODY_HIT,9,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,9,1,1
1707918828936,1,1707886867146,1707918828936,TIMEOUT,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
1707918830615,1,1707886867146,1707918830615,RESUME,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
1707918832609,1,1707886865152,1707918832609,RED_BODY_HIT,2,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,2,1,1
1707918838735,1,1707886859027,1707918838735,BLUE_BODY_HIT,35,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,35,1,1
1707918838735,1,1707886859025,1707918838739,BLUE_BODY_POINT,SENSOR,2,0,2-0,2,0,2,0,0,0,0,0,0,0,0,0,false,SENSOR,1,1
1707918840444,1,1707886857328,1707918840444,TIMEOUT,,0,0,2-0,2,0,2,0,0,0,0,0,0,0,0,0,false,,1,1
1707918843205,1,1707886857326,1707918843205,RESUME,,0,0,2-0,2,0,2,0,0,0,0,0,0,0,0,0,false,,1,1
1707918847751,1,1707886852791,1707918847751,TIMEOUT,,0,0,2-0,2,0,2,0,0,0,0,0,0,0,0,0,false,,1,1
1707918850077,1,1707886852791,1707918850077,RESUME,,0,0,2-0,2,0,2,0,0,0,0,0,0,0,0,0,false,,1,1
1707918853514,1,1707886849355,1707918853515,BLUE_JUDGE_PUNCH,2,0,0,2-0,2,0,2,0,0,0,0,0,0,0,0,0,false,2,1,1
1707918853593,1,1707886849275,1707918853593,BLUE_JUDGE_PUNCH,1,0,0,2-0,2,0,2,0,0,0,0,0,0,0,0,0,false,1,1,1
1707918853593,1,1707886849275,1707918853596,BLUE_PUNCH_POINT,JUDGE,1,0,3-0,3,0,3,0,0,0,0,0,0,0,0,0,false,JUDGE,1,1
1707918856804,1,1707886846076,1707918856804,TIMEOUT,,0,0,3-0,3,0,3,0,0,0,0,0,0,0,0,0,false,,1,1
1707918858371,1,1707886846074,1707918858371,RESUME,,0,0,3-0,3,0,3,0,0,0,0,0,0,0,0,0,false,,1,1
1707918862348,1,1707886842097,1707918862348,RED_BODY_HIT,6,0,0,3-0,3,0,3,0,0,0,0,0,0,0,0,0,false,6,1,1
1707918862739,1,1707886841706,1707918862739,RED_JUDGE_BODY_TECH,1,0,0,3-0,3,0,3,0,0,0,0,0,0,0,0,0,false,1,1,1
1707918864493,1,1707886839963,1707918864493,TIMEOUT,,0,0,3-0,3,0,3,0,0,0,0,0,0,0,0,0,false,,1,1
1707918866904,1,1707886839963,1707918866904,RESUME,,0,0,3-0,3,0,3,0,0,0,0,0,0,0,0,0,false,,1,1
1707918869758,1,1707886837108,1707918869759,BLUE_JUDGE_PUNCH,2,0,0,3-0,3,0,3,0,0,0,0,0,0,0,0,0,false,2,1,1
1707918872309,1,1707886834568,1707918872309,TIMEOUT,,0,0,3-0,3,0,3,0,0,0,0,0,0,0,0,0,false,,1,1
1707918872876,1,1707886834566,1707918872876,RESUME,,0,0,3-0,3,0,3,0,0,0,0,0,0,0,0,0,false,,1,1
1707918874499,1,1707886832943,1707918874499,BLUE_BODY_HIT,28,0,0,3-0,3,0,3,0,0,0,0,0,0,0,0,0,false,28,1,1
1707918874499,1,1707886832941,1707918874500,BLUE_BODY_POINT,SENSOR,2,0,5-0,5,0,5,0,0,0,0,0,0,0,0,0,false,SENSOR,1,1
1707918875873,1,1707886831579,1707918875873,TIMEOUT,,0,0,5-0,5,0,5,0,0,0,0,0,0,0,0,0,false,,1,1
1707918875906,1,1707886831579,1707918875906,RED_JUDGE_PUNCH,2,0,0,5-0,5,0,5,0,0,0,0,0,0,0,0,0,false,2,1,1
1707918876240,1,1707886831579,1707918876240,OT_RED_JUDGE_PUNCH,1,0,0,5-0,5,0,5,0,0,0,0,0,0,0,0,0,false,1,1,1
1707918879194,1,1707886831579,1707918879194,RED_ADD_GAME_JEON,MAIN_CONTROL,0,0,6-0,6,0,5,0,0,1,0,0,0,0,0,0,false,MAIN_CONTROL,1,1
1707918882039,1,1707886831579,1707918882039,RESUME,,0,0,6-0,6,0,5,0,0,1,0,0,0,0,0,0,false,,1,1
1707918884116,1,1707886829503,1707918884116,BLUE_BODY_HIT,19,0,0,6-0,6,0,5,0,0,1,0,0,0,0,0,0,false,19,1,1
1707918884731,1,1707886828887,1707918884731,RED_JUDGE_PUNCH,2,0,0,6-0,6,0,5,0,0,1,0,0,0,0,0,0,false,2,1,1
1707918884885,1,1707886828734,1707918884885,RED_JUDGE_PUNCH,1,0,0,6-0,6,0,5,0,0,1,0,0,0,0,0,0,false,1,1,1
1707918884885,1,1707886828733,1707918884888,RED_PUNCH_POINT,JUDGE,0,1,6-1,6,1,5,1,0,1,0,0,0,0,0,0,false,JUDGE,1,1
1707918885298,1,1707886828321,1707918885298,RED_BODY_HIT,6,0,0,6-1,6,1,5,1,0,1,0,0,0,0,0,0,false,6,1,1
1707918890902,1,1707886822716,1707918890902,RED_BODY_HIT,10,0,0,6-1,6,1,5,1,0,1,0,0,0,0,0,0,false,10,1,1
1707918892847,1,1707886820782,1707918892847,TIMEOUT,,0,0,6-1,6,1,5,1,0,1,0,0,0,0,0,0,false,,1,1
1707918896119,1,1707886820780,1707918896119,RESUME,,0,0,6-1,6,1,5,1,0,1,0,0,0,0,0,0,false,,1,1
1707918898584,1,1707886818326,1707918898584,TIMEOUT,,0,0,6-1,6,1,5,1,0,1,0,0,0,0,0,0,false,,1,1
1707918902483,1,1707886818324,1707918902483,RESUME,,0,0,6-1,6,1,5,1,0,1,0,0,0,0,0,0,false,,1,1
1707918907621,1,1707886813197,1707918907621,TIMEOUT,,0,0,6-1,6,1,5,1,0,1,0,0,0,0,0,0,false,,1,1
1707918910001,1,1707886813195,1707918910001,RESUME,,0,0,6-1,6,1,5,1,0,1,0,0,0,0,0,0,false,,1,1
1707918917659,1,1707886805538,1707918917659,RED_JUDGE_BODY_TECH,1,0,0,6-1,6,1,5,1,0,1,0,0,0,0,0,0,false,1,1,1
1707918924237,1,1707886800000,1707918924237,END_ROUND,,0,0,6-1,6,1,5,1,0,1,0,1,0,0,0,0,false,,1,1
1707918973206,1,1707886800000,1707918973206,NEXT_ROUND,,0,0,6-1,6,1,5,1,0,1,0,1,0,0,0,0,false,,1,1
1707918978970,2,1707886890000,1707918978970,START_ROUND,,0,0,0-0,0,0,0,0,0,0,0,1,0,0,0,0,false,,1,1
1707918987074,2,1707886881907,1707918987074,TIMEOUT,,0,0,0-0,0,0,0,0,0,0,0,1,0,0,0,0,false,,1,1
1707918988945,2,1707886881905,1707918988945,RESUME,,0,0,0-0,0,0,0,0,0,0,0,1,0,0,0,0,false,,1,1
1707918999599,2,1707886871262,1707918999599,TIMEOUT,,0,0,0-0,0,0,0,0,0,0,0,1,0,0,0,0,false,,1,1
1707919003723,2,1707886871262,1707919003723,RESUME,,0,0,0-0,0,0,0,0,0,0,0,1,0,0,0,0,false,,1,1
1707919008627,2,1707886866358,1707919008627,RED_BODY_HIT,4,0,0,0-0,0,0,0,0,0,0,0,1,0,0,0,0,false,4,1,1
1707919010613,2,1707886864383,1707919010613,TIMEOUT,,0,0,0-0,0,0,0,0,0,0,0,1,0,0,0,0,false,,1,1
1707919013484,2,1707886864381,1707919013484,RESUME,,0,0,0-0,0,0,0,0,0,0,0,1,0,0,0,0,false,,1,1
1707919016302,2,1707886861563,1707919016302,BLUE_BODY_HIT,15,0,0,0-0,0,0,0,0,0,0,0,1,0,0,0,0,false,15,1,1
1707919016772,2,1707886861093,1707919016772,BLUE_JUDGE_BODY_TECH,1,0,0,0-0,0,0,0,0,0,0,0,1,0,0,0,0,false,1,1,1
1707919017192,2,1707886860673,1707919017192,BLUE_BODY_HIT,17,0,0,0-0,0,0,0,0,0,0,0,1,0,0,0,0,false,17,1,1
1707919019233,2,1707886858632,1707919019233,RED_BODY_HIT,27,0,0,0-0,0,0,0,0,0,0,0,1,0,0,0,0,false,27,1,1
1707919019233,2,1707886858632,1707919019236,RED_BODY_POINT,SENSOR,0,2,0-2,0,2,0,2,0,0,0,1,0,0,0,0,false,SENSOR,1,1
1707919024386,2,1707886853490,1707919024386,TIMEOUT,,0,0,0-2,0,2,0,2,0,0,0,1,0,0,0,0,false,,1,1
1707919029421,2,1707886853490,1707919029421,RESUME,,0,0,0-2,0,2,0,2,0,0,0,1,0,0,0,0,false,,1,1
1707919031221,2,1707886851700,1707919031221,TIMEOUT,,0,0,0-2,0,2,0,2,0,0,0,1,0,0,0,0,false,,1,1
1707919035227,2,1707886851699,1707919035227,RESUME,,0,0,0-2,0,2,0,2,0,0,0,1,0,0,0,0,false,,1,1
1707919036411,2,1707886850515,1707919036411,RED_BODY_HIT,17,0,0,0-2,0,2,0,2,0,0,0,1,0,0,0,0,false,17,1,1
1707919038188,2,1707886848739,1707919038189,RED_BODY_HIT,7,0,0,0-2,0,2,0,2,0,0,0,1,0,0,0,0,false,7,1,1
1707919045358,2,1707886841578,1707919045358,TIMEOUT,,0,0,0-2,0,2,0,2,0,0,0,1,0,0,0,0,false,,1,1
1707919049280,2,1707886841578,1707919049280,RESUME,,0,0,0-2,0,2,0,2,0,0,0,1,0,0,0,0,false,,1,1
1707919055851,2,1707886835017,1707919055851,TIMEOUT,,0,0,0-2,0,2,0,2,0,0,0,1,0,0,0,0,false,,1,1
1707919058750,2,1707886835017,1707919058750,RESUME,,0,0,0-2,0,2,0,2,0,0,0,1,0,0,0,0,false,,1,1
1707919078105,2,1707886815662,1707919078105,BLUE_BODY_HIT,32,0,0,0-2,0,2,0,2,0,0,0,1,0,0,0,0,false,32,1,1
1707919078105,2,1707886815660,1707919078107,BLUE_BODY_POINT,SENSOR,2,0,2-2,2,2,2,2,0,0,0,1,0,0,0,0,false,SENSOR,1,1
1707919079720,2,1707886814046,1707919079720,BLUE_BODY_HIT,22,0,0,2-2,2,2,2,2,0,0,0,1,0,0,0,0,false,22,1,1
1707919079720,2,1707886814046,1707919079723,BLUE_BODY_POINT,SENSOR,2,0,4-2,4,2,4,2,0,0,0,1,0,0,0,0,false,SENSOR,1,1
1707919084675,2,1707886809103,1707919084675,TIMEOUT,,0,0,4-2,4,2,4,2,0,0,0,1,0,0,0,0,false,,1,1
1707919087588,2,1707886809100,1707919087588,RESUME,,0,0,4-2,4,2,4,2,0,0,0,1,0,0,0,0,false,,1,1
1707919089477,2,1707886807212,1707919089477,BLUE_JUDGE_PUNCH,1,0,0,4-2,4,2,4,2,0,0,0,1,0,0,0,0,false,1,1,1
1707919090454,2,1707886806245,1707919090454,TIMEOUT,,0,0,4-2,4,2,4,2,0,0,0,1,0,0,0,0,false,,1,1
1707919092426,2,1707886806243,1707919092426,RESUME,,0,0,4-2,4,2,4,2,0,0,0,1,0,0,0,0,false,,1,1
1707919093825,2,1707886804844,1707919093825,RED_BODY_HIT,6,0,0,4-2,4,2,4,2,0,0,0,1,0,0,0,0,false,6,1,1
1707919098540,2,1707886800139,1707919098540,TIMEOUT,,0,0,4-2,4,2,4,2,0,0,0,1,0,0,0,0,false,,1,1
1707919104913,2,1707886800139,1707919104914,RED_ADD_GAME_JEON,MAIN_CONTROL,0,0,5-2,5,2,4,2,0,1,0,1,0,0,0,0,false,MAIN_CONTROL,1,1
1707919106351,2,1707886800139,1707919106351,RESUME,,0,0,5-2,5,2,4,2,0,1,0,1,0,0,0,0,false,,1,1
1707919108544,2,1707886800000,1707919108544,END_ROUND,,0,0,5-2,5,2,4,2,0,1,0,2,0,0,0,0,false,,1,1
1707919108594,2,1707886800000,1707919108594,MATCH_FINAL_NEEDS_CONFIRM_DECISION,,0,0,5-2,5,2,4,2,0,1,0,2,0,0,0,0,false,,1,1
1707919110581,2,1707886800000,1707919110581,MATCH_FINISHED,BLUE - PTF,0,0,5-2,5,2,4,2,0,1,0,2,0,0,0,0,false,BLUE - PTF,1,1
