systemTime,matchLogItemType,eventTime,roundNumber,roundTime,entryValue,blueAddPoints,redAddPoints,score,blueGeneralPoints,redGeneralPoints,bluePoints,redPoints,bluePenalties,redPenalties,blueTotalPenalties,redTotalPenalties,blueGoldenPointHits,redGoldenPointHits,blueGoldenPointPenalties,redGoldenPointPenalties,goldenPointRound,entryValue.1,blueVideoQuota,redVideoQuota
1716711351380,START_ROUND,,,,,,,,,,,,,,,,,,,,,,,
1716727445543,OT_RED_HEAD_HIT,1716727445543.0,1.0,1716699720000.0,16,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,16,1.0,1.0
1716727447260,OT_RED_JUDGE_BODY_TECH,1716727447260.0,1.0,1716699720000.0,2,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716727447324,OT_BLUE_JUDGE_BODY_TECH,1716727447324.0,1.0,1716699720000.0,2,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716727450223,MEETING,1716727450223.0,1.0,1716699720000.0,2,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716727450253,MEETING,1716727450253.0,1.0,1716699720000.0,2,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716727453024,OT_RED_JUDGE_PUNCH,1716727453024.0,1.0,1716699720000.0,2,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716727453572,OT_RED_JUDGE_PUNCH,1716727453572.0,1.0,1716699720000.0,2,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716727454751,OT_BLUE_JUDGE_PUNCH,1716727454751.0,1.0,1716699720000.0,2,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716727455604,OT_BLUE_JUDGE_PUNCH,1716727455604.0,1.0,1716699720000.0,2,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716727456129,OT_RED_JUDGE_PUNCH,1716727456129.0,1.0,1716699720000.0,2,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716727456871,OT_RED_JUDGE_BODY_TECH,1716727456871.0,1.0,1716699720000.0,2,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716727457310,OT_BLUE_JUDGE_BODY_TECH,1716727457310.0,1.0,1716699720000.0,2,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716727457918,MEETING,1716727457918.0,1.0,1716699720000.0,2,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716727458237,MEETING,1716727458237.0,1.0,1716699720000.0,2,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716727458934,MEETING,1716727458934.0,1.0,1716699720000.0,2,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716727459116,OT_RED_JUDGE_PUNCH,1716727459116.0,1.0,1716699720000.0,2,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716727459470,OT_BLUE_JUDGE_PUNCH,1716727459470.0,1.0,1716699720000.0,2,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716727460523,OT_RED_JUDGE_PUNCH,1716727460523.0,1.0,1716699720000.0,2,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716727461182,OT_BLUE_JUDGE_BODY_TECH,1716727461182.0,1.0,1716699720000.0,2,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716727461627,OT_RED_JUDGE_PUNCH,1716727461627.0,1.0,1716699720000.0,2,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716727461654,MEETING,1716727461654.0,1.0,1716699720000.0,2,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716727461682,MEETING,1716727461682.0,1.0,1716699720000.0,2,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716727462559,OT_RED_JUDGE_PUNCH,1716727462558.0,1.0,1716699720000.0,2,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716727462855,OT_BLUE_JUDGE_PUNCH,1716727462855.0,1.0,1716699720000.0,2,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716727463187,OT_RED_JUDGE_PUNCH,1716727463187.0,1.0,1716699720000.0,2,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716727465055,OT_BLUE_JUDGE_BODY_TECH,1716727465055.0,1.0,1716699720000.0,2,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716727465470,MEETING,1716727465470.0,1.0,1716699720000.0,2,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716727465639,MEETING,1716727465639.0,1.0,1716699720000.0,2,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716727468035,OT_BLUE_BODY_HIT,1716727468035.0,1.0,1716699720000.0,10,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,10,1.0,1.0
1716727469446,OT_BLUE_HEAD_HIT,1716727469445.0,1.0,1716699720000.0,19,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,19,1.0,1.0
1716727471128,OT_RED_BODY_HIT,1716727471128.0,1.0,1716699720000.0,19,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,19,1.0,1.0
1716727472513,OT_RED_HEAD_HIT,1716727472512.0,1.0,1716699720000.0,19,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,19,1.0,1.0
1716727486880,START_ROUND,1716727486880.0,1.0,1716699720000.0,,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727495821,BLUE_BODY_HIT,1716727495820.0,1.0,1716699711059.0,4,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,4,1.0,1.0
1716727500067,TIMEOUT,1716727500067.0,1.0,1716699706823.0,,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727504459,RESUME,1716727504459.0,1.0,1716699706823.0,,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727512754,TIMEOUT,1716727512754.0,1.0,1716699698538.0,,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727516242,RESUME,1716727516242.0,1.0,1716699698538.0,,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727518793,RED_BODY_HIT,1716727518792.0,1.0,1716699695987.0,9,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,9,1.0,1.0
1716727519221,BLUE_BODY_HIT,1716727519221.0,1.0,1716699695559.0,1,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1,1.0,1.0
1716727523559,RED_BODY_HIT,1716727523559.0,1.0,1716699691220.0,7,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,7,1.0,1.0
1716727543403,TIMEOUT,1716727543403.0,1.0,1716699671386.0,,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727547457,RESUME,1716727547457.0,1.0,1716699671386.0,,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727551158,TIMEOUT,1716727551158.0,1.0,1716699667696.0,,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727555588,OT_BLUE_BODY_HIT,1716727555588.0,1.0,1716699667694.0,4,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,4,1.0,1.0
1716727557933,OT_RED_BODY_HIT,1716727557933.0,1.0,1716699667694.0,12,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,12,1.0,1.0
1716727562366,RESUME,1716727562366.0,1.0,1716699667694.0,,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727563387,TIMEOUT,1716727563387.0,1.0,1716699666684.0,,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727565598,RESUME,1716727565598.0,1.0,1716699666682.0,,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727580186,RED_BODY_HIT,1716727580186.0,1.0,1716699652094.0,8,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,8,1.0,1.0
1716727583842,RED_BODY_HIT,1716727583842.0,1.0,1716699648439.0,2,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716727592002,TIMEOUT,1716727592002.0,1.0,1716699640289.0,,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727597072,RESUME,1716727597072.0,1.0,1716699640289.0,,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727601095,BLUE_BODY_HIT,1716727601095.0,1.0,1716699636266.0,25,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,25,1.0,1.0
1716727601098,BLUE_BODY_POINT,1716727601095.0,1.0,1716699636264.0,SENSOR,2.0,0.0,2-0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,SENSOR,1.0,1.0
1716727614391,TIMEOUT,1716727614391.0,1.0,1716699622980.0,,0.0,0.0,2-0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727619838,RESUME,1716727619838.0,1.0,1716699622980.0,,0.0,0.0,2-0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
