eventTime,roundNumber,roundTime,systemTime,matchLogItemType,entryValue,blueAddPoints,redAddPoints,score,blueGeneralPoints,redGeneralPoints,bluePoints,redPoints,bluePenalties,redPenalties,blueTotalPenalties,redTotalPenalties,blueGoldenPointHits,redGoldenPointHits,blueGoldenPointPenalties,redGoldenPointPenalties,goldenPointRound,entryValue,blueVideoQuota,redVideoQuota
1716565008517,1,1716526890000,1716565008517,OT_BLUE_BODY_HIT,14,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,14,1,1
1716565010181,1,1716526890000,1716565010181,OT_BLUE_HEAD_HIT,17,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,17,1,1
1716565023677,1,1716526890000,1716565023677,OT_RED_BODY_HIT,22,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,22,1,1
1716565025687,1,1716526890000,1716565025687,OT_RED_HEAD_HIT,15,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,15,1,1
1716565051924,1,1716526890000,1716565051924,START_ROUND,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
1716565077461,1,1716526864473,1716565077461,TIMEOUT,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
1716565080308,1,1716526864473,1716565080309,BLUE_ADD_GAME_JEON,MAIN_CONTROL,0,0,0-1,0,1,0,0,1,0,0,0,0,0,0,0,false,MAIN_CONTROL,1,1
1716565082531,1,1716526864473,1716565082531,RESUME,,0,0,0-1,0,1,0,0,1,0,0,0,0,0,0,0,false,,1,1
1716565106556,1,1716526840457,1716565106556,TIMEOUT,,0,0,0-1,0,1,0,0,1,0,0,0,0,0,0,0,false,,1,1
1716565108758,1,1716526840457,1716565108758,RESUME,,0,0,0-1,0,1,0,0,1,0,0,0,0,0,0,0,false,,1,1
1716565113693,1,1716526835522,1716565113693,BLUE_BODY_HIT,16,0,0,0-1,0,1,0,0,1,0,0,0,0,0,0,0,false,16,1,1
1716565113693,1,1716526835522,1716565113696,BLUE_BODY_POINT,SENSOR,2,0,2-1,2,1,2,0,1,0,0,0,0,0,0,0,false,SENSOR,1,1
1716565123434,1,1716526825791,1716565123434,TIMEOUT,,0,0,2-1,2,1,2,0,1,0,0,0,0,0,0,0,false,,1,1
1716565127135,1,1716526825791,1716565127136,BLUE_ADD_GAME_JEON,MAIN_CONTROL,0,0,2-2,2,2,2,0,2,0,0,0,0,0,0,0,false,MAIN_CONTROL,1,1
1716565128537,1,1716526825791,1716565128537,RESUME,,0,0,2-2,2,2,2,0,2,0,0,0,0,0,0,0,false,,1,1
1716565147658,1,1716526806681,1716565147658,TIMEOUT,,0,0,2-2,2,2,2,0,2,0,0,0,0,0,0,0,false,,1,1
1716565149623,1,1716526806679,1716565149623,RESUME,,0,0,2-2,2,2,2,0,2,0,0,0,0,0,0,0,false,,1,1
1716565152966,1,1716526803345,1716565152966,TIMEOUT,,0,0,2-2,2,2,2,0,2,0,0,0,0,0,0,0,false,,1,1
1716565155701,1,1716526803345,1716565155701,RESUME,,0,0,2-2,2,2,2,0,2,0,0,0,0,0,0,0,false,,1,1
1716565161129,1,1716526800000,1716565161129,END_ROUND,,0,0,2-2,2,2,2,0,2,0,2,0,0,0,0,0,false,,1,1
1716565225019,2,1716526890000,1716565225019,START_ROUND,,0,0,0-0,0,0,0,0,0,0,2,0,0,0,0,0,false,,1,1
1716565243968,2,1716526871062,1716565243968,TIMEOUT,,0,0,0-0,0,0,0,0,0,0,2,0,0,0,0,0,false,,1,1
1716565251053,2,1716526871060,1716565251053,RESUME,,0,0,0-0,0,0,0,0,0,0,2,0,0,0,0,0,false,,1,1
1716565262102,2,1716526860010,1716565262102,BLUE_BODY_HIT,34,0,0,0-0,0,0,0,0,0,0,2,0,0,0,0,0,false,34,1,1
1716565262102,2,1716526860010,1716565262104,BLUE_BODY_POINT,SENSOR,2,0,2-0,2,0,2,0,0,0,2,0,0,0,0,0,false,SENSOR,1,1
1716565267859,2,1716526854263,1716565267859,TIMEOUT,,0,0,2-0,2,0,2,0,0,0,2,0,0,0,0,0,false,,1,1
1716565272515,2,1716526854262,1716565272516,BLUE_ADD_GAME_JEON,MAIN_CONTROL,0,0,2-1,2,1,2,0,1,0,2,0,0,0,0,0,false,MAIN_CONTROL,1,1
1716565274524,2,1716526854262,1716565274524,RESUME,,0,0,2-1,2,1,2,0,1,0,2,0,0,0,0,0,false,,1,1
1716565287541,2,1716526841245,1716565287542,BLUE_BODY_HIT,17,0,0,2-1,2,1,2,0,1,0,2,0,0,0,0,0,false,17,1,1
1716565287541,2,1716526841243,1716565287544,BLUE_BODY_POINT,SENSOR,2,0,4-1,4,1,4,0,1,0,2,0,0,0,0,0,false,SENSOR,1,1
1716565291361,2,1716526837435,1716565291361,TIMEOUT,,0,0,4-1,4,1,4,0,1,0,2,0,0,0,0,0,false,,1,1
1716565299422,2,1716526837435,1716565299422,SCOREBOARD,,0,0,4-1,4,1,4,0,1,0,2,0,0,0,0,0,false,,1,1
1716565299422,2,1716526837435,1716565299422,RED_VIDEO_REQUEST,,0,0,4-1,4,1,4,0,1,0,2,0,0,0,0,0,false,,1,1
1716565346727,2,1716526837435,1716565346727,RED_VIDEO_QUOTA_CHANGED,0,0,0,4-1,4,1,4,0,1,0,2,0,0,0,0,0,false,0,1,0
1716565352912,2,1716526837435,1716565352912,RESUME,,0,0,4-1,4,1,4,0,1,0,2,0,0,0,0,0,false,,1,0
1716565356202,2,1716526834146,1716565356202,RED_HEAD_HIT,12,0,0,4-4,4,4,4,0,1,0,2,0,0,0,0,0,false,12,1,0
1716565356202,2,1716526834146,1716565356205,RED_HEAD_POINT,SENSOR,0,3,4-4,4,4,4,3,1,0,2,0,0,0,0,0,false,SENSOR,1,0
1716565360375,2,1716526829983,1716565360375,TIMEOUT,,0,0,4-4,4,4,4,3,1,0,2,0,0,0,0,0,false,,1,0
1716565364965,2,1716526829983,1716565364965,RESUME,,0,0,4-4,4,4,4,3,1,0,2,0,0,0,0,0,false,,1,0
1716565371290,2,1716526823658,1716565371290,RED_BODY_HIT,25,0,0,4-6,4,6,4,3,1,0,2,0,0,0,0,0,false,25,1,0
1716565371290,2,1716526823656,1716565371293,RED_BODY_POINT,SENSOR,0,2,4-6,4,6,4,5,1,0,2,0,0,0,0,0,false,SENSOR,1,0
1716565372624,2,1716526822334,1716565372624,TIMEOUT,,0,0,4-6,4,6,4,5,1,0,2,0,0,0,0,0,false,,1,0
1716565380600,2,1716526822333,1716565380600,RESUME,,0,0,4-6,4,6,4,5,1,0,2,0,0,0,0,0,false,,1,0
1716565382417,2,1716526820527,1716565382417,TIMEOUT,,0,0,4-6,4,6,4,5,1,0,2,0,0,0,0,0,false,,1,0
1716565386323,2,1716526820525,1716565386323,RED_ADD_GAME_JEON,MAIN_CONTROL,0,0,5-6,5,6,4,5,1,1,2,0,0,0,0,0,false,MAIN_CONTROL,1,0
1716565389321,2,1716526820525,1716565389321,RESUME,,0,0,5-6,5,6,4,5,1,1,2,0,0,0,0,0,false,,1,0
1716565395542,2,1716526814314,1716565395542,TIMEOUT,,0,0,5-6,5,6,4,5,1,1,2,0,0,0,0,0,false,,1,0
1716565398745,2,1716526814314,1716565398746,RED_ADD_GAME_JEON,MAIN_CONTROL,0,0,6-6,6,6,4,5,1,2,2,0,0,0,0,0,false,MAIN_CONTROL,1,0
1716565400251,2,1716526814314,1716565400251,RESUME,,0,0,6-6,6,6,4,5,1,2,2,0,0,0,0,0,false,,1,0
1716565407636,2,1716526806928,1716565407637,BLUE_BODY_HIT,23,0,0,6-6,6,6,4,5,1,2,2,0,0,0,0,0,false,23,1,0
1716565407636,2,1716526806926,1716565407640,BLUE_BODY_POINT,SENSOR,2,0,8-6,8,6,6,5,1,2,2,0,0,0,0,0,false,SENSOR,1,0
1716565408427,2,1716526806137,1716565408427,BLUE_BODY_HIT,10,0,0,8-6,8,6,6,5,1,2,2,0,0,0,0,0,false,10,1,0
1716565411150,2,1716526803424,1716565411150,TIMEOUT,,0,0,8-6,8,6,6,5,1,2,2,0,0,0,0,0,false,,1,0
1716565412966,2,1716526803424,1716565412966,RESUME,,0,0,8-6,8,6,6,5,1,2,2,0,0,0,0,0,false,,1,0
1716565413770,2,1716526802621,1716565413770,BLUE_BODY_HIT,12,0,0,8-6,8,6,6,5,1,2,2,0,0,0,0,0,false,12,1,0
1716565415675,2,1716526800715,1716565415675,BLUE_BODY_HIT,15,0,0,10-6,10,6,6,5,1,2,2,0,0,0,0,0,false,15,1,0
1716565415675,2,1716526800715,1716565415675,BLUE_BODY_POINT,SENSOR,2,0,10-6,10,6,8,5,1,2,2,0,0,0,0,0,false,SENSOR,1,0
1716565419689,2,1716526800000,1716565419689,END_ROUND,,0,0,10-6,10,6,8,5,1,2,3,2,0,0,0,0,false,,1,0
1716565419729,2,1716526800000,1716565419729,MATCH_FINAL_NEEDS_CONFIRM_DECISION,,0,0,10-6,10,6,8,5,1,2,3,2,0,0,0,0,false,,1,0
1716565420969,2,1716526800000,1716565420969,MATCH_FINISHED,BLUE - PTF,0,0,10-6,10,6,8,5,1,2,3,2,0,0,0,0,false,BLUE - PTF,1,0
