eventTime,roundNumber,roundTime,systemTime,matchLogItemType,entryValue,blueAddPoints,redAddPoints,score,blueGeneralPoints,redGeneralPoints,bluePoints,redPoints,bluePenalties,redPenalties,blueTotalPenalties,redTotalPenalties,blueGoldenPointHits,redGoldenPointHits,blueGoldenPointPenalties,redGoldenPointPenalties,goldenPointRound,entryValue,blueVideoQuota,redVideoQuota
1716696528495,1,1716649290000,1716696528495,OT_BLUE_BODY_HIT,26,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,26,1,1
1716696530709,1,1716649290000,1716696530709,OT_BLUE_HEAD_HIT,30,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,30,1,1
1716696532855,1,1716649290000,1716696532855,OT_RED_BODY_HIT,29,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,29,1,1
1716696534615,1,1716649290000,1716696534616,OT_RED_HEAD_HIT,28,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,28,1,1
1716696553253,1,1716649290000,1716696553253,START_ROUND,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
1716696557901,1,1716649285351,1716696557903,RED_HEAD_POINT,SENSOR,0,3,0-3,0,3,0,3,0,0,0,0,0,0,0,0,false,SENSOR,1,1
1716696557901,1,1716649285351,1716696557901,RED_HEAD_HIT,29,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,29,1,1
1716696565150,1,1716649278103,1716696565150,RED_BODY_HIT,52,0,0,0-5,0,5,0,3,0,0,0,0,0,0,0,0,false,52,1,1
1716696565150,1,1716649278102,1716696565151,RED_BODY_POINT,SENSOR,0,2,0-5,0,5,0,5,0,0,0,0,0,0,0,0,false,SENSOR,1,1
1716696572696,1,1716649270557,1716696572696,RED_BODY_HIT,48,0,0,0-7,0,7,0,5,0,0,0,0,0,0,0,0,false,48,1,1
1716696572696,1,1716649270555,1716696572697,RED_BODY_POINT,SENSOR,0,2,0-7,0,7,0,7,0,0,0,0,0,0,0,0,false,SENSOR,1,1
1716696579552,1,1716649263701,1716696579552,RED_BODY_HIT,15,0,0,0-7,0,7,0,7,0,0,0,0,0,0,0,0,false,15,1,1
1716696579989,1,1716649263262,1716696579990,RED_JUDGE_PUNCH,2,0,0,0-7,0,7,0,7,0,0,0,0,0,0,0,0,false,2,1,1
1716696580134,1,1716649263119,1716696580135,RED_JUDGE_PUNCH,1,0,0,0-7,0,7,0,7,0,0,0,0,0,0,0,0,false,1,1,1
1716696580134,1,1716649263119,1716696580136,RED_PUNCH_POINT,JUDGE,0,1,0-8,0,8,0,8,0,0,0,0,0,0,0,0,false,JUDGE,1,1
1716696596281,1,1716649246971,1716696596281,BLUE_JUDGE_PUNCH,1,0,0,0-8,0,8,0,8,0,0,0,0,0,0,0,0,false,1,1,1
1716696596294,1,1716649246969,1716696596294,TIMEOUT,,0,0,0-8,0,8,0,8,0,0,0,0,0,0,0,0,false,,1,1
1716696598727,1,1716649246969,1716696598727,RESUME,,0,0,0-8,0,8,0,8,0,0,0,0,0,0,0,0,false,,1,1
1716696601944,1,1716649243753,1716696601944,RED_JUDGE_PUNCH,2,0,0,0-8,0,8,0,8,0,0,0,0,0,0,0,0,false,2,1,1
1716696602074,1,1716649243622,1716696602074,RED_JUDGE_PUNCH,1,0,0,0-8,0,8,0,8,0,0,0,0,0,0,0,0,false,1,1,1
1716696602074,1,1716649243622,1716696602075,RED_PUNCH_POINT,JUDGE,0,1,0-9,0,9,0,9,0,0,0,0,0,0,0,0,false,JUDGE,1,1
1716696602798,1,1716649242899,1716696602798,RED_BODY_HIT,26,0,0,0-9,0,9,0,9,0,0,0,0,0,0,0,0,false,26,1,1
1716696602798,1,1716649242899,1716696602798,RED_BODY_POINT,SENSOR,0,2,0-11,0,11,0,11,0,0,0,0,0,0,0,0,false,SENSOR,1,1
1716696606366,1,1716649239330,1716696606367,RED_JUDGE_PUNCH,2,0,0,0-11,0,11,0,11,0,0,0,0,0,0,0,0,false,2,1,1
1716696606775,1,1716649238921,1716696606775,RED_JUDGE_PUNCH,1,0,0,0-11,0,11,0,11,0,0,0,0,0,0,0,0,false,1,1,1
1716696606775,1,1716649238921,1716696606779,RED_PUNCH_POINT,JUDGE,0,1,0-12,0,12,0,12,0,0,0,0,0,0,0,0,false,JUDGE,1,1
1716696606791,1,1716649200000,1716696606791,OT_RED_BODY_HIT,38,0,0,0-12,0,12,0,12,0,0,0,0,0,0,0,0,false,38,1,1
1716696606794,1,1716649200000,1716696606794,TIMEOUT,,0,0,0-12,0,12,0,12,0,0,0,0,0,0,0,0,false,,1,1
1716696615572,1,1716649200000,1716696615572,END_ROUND,,0,0,0-12,0,12,0,12,0,0,0,0,0,0,0,0,false,,1,1
1716696686497,2,1716649290000,1716696686497,START_ROUND,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
1716696695276,2,1716649281221,1716696695276,RED_BODY_HIT,13,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,13,1,1
1716696699241,2,1716649277265,1716696699241,TIMEOUT,,0,0,0-0,0,0,0,0,0,0,0,0,0,0,0,0,false,,1,1
