                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5623,                0.90208,                 1.3079,                0.93376,                0.86764,                 0.9154,                0.59948,                 1.2525,                0.66947,                  1.107,              0.0002222,              0.0002222,              0.0002222
                      1,                 1.4927,                0.86197,                 1.2545,                 0.8557,                0.82462,                 0.8756,                0.54468,                 1.3014,                0.75258,                  1.141,             0.00043747,             0.00043747,             0.00043747
                      2,                 1.5038,                0.85693,                 1.2666,                0.87176,                0.81565,                0.87632,                0.53157,                 1.3138,                0.80131,                 1.1496,             0.00063427,             0.00063427,             0.00063427
                      3,                 1.4325,                   0.84,                 1.2183,                0.86891,                0.83307,                0.89543,                0.54275,                 1.3257,                0.75996,                 1.1319,             0.00081258,             0.00081258,             0.00081258
                      4,                 1.4707,                0.87803,                 1.2429,                0.88149,                0.87318,                0.90804,                0.54521,                  1.348,                0.79591,                 1.1875,             0.00093502,             0.00093502,             0.00093502
                      5,                 1.4562,                0.83709,                 1.2489,                0.90882,                  0.807,                0.90754,                0.53489,                 1.3383,                0.74816,                 1.1912,             0.00093502,             0.00093502,             0.00093502
                      6,                 1.4165,                  0.838,                  1.222,                0.89745,                0.83236,                0.87222,                 0.5369,                 1.3226,                0.78006,                 1.1887,             0.00089102,             0.00089102,             0.00089102
                      7,                 1.3927,                0.82975,                 1.2165,                0.84423,                0.86056,                0.90625,                0.54236,                 1.3057,                0.91854,                 1.2066,             0.00084703,             0.00084703,             0.00084703
                      8,                 1.4689,                0.82764,                 1.2467,                0.87454,                0.85495,                0.88805,                0.51817,                  1.386,                 0.7767,                 1.2267,             0.00080303,             0.00080303,             0.00080303
                      9,                  1.452,                0.82022,                 1.2332,                 0.8676,                0.81686,                0.88705,                0.50789,                 1.3756,                0.86339,                 1.1989,             0.00075904,             0.00075904,             0.00075904
                     10,                 1.3718,                0.77747,                 1.2075,                0.93004,                 0.8504,                0.92271,                0.55556,                 1.3455,                0.74298,                 1.1776,             0.00071504,             0.00071504,             0.00071504
                     11,                 1.3883,                0.80206,                 1.2059,                    0.9,                0.86715,                0.92107,                0.56601,                 1.3407,                0.72541,                 1.1818,             0.00067104,             0.00067104,             0.00067104
                     12,                 1.3328,                0.75362,                 1.1593,                0.90493,                0.87296,                0.91182,                0.57888,                 1.2567,                0.72811,                 1.1232,             0.00062705,             0.00062705,             0.00062705
                     13,                 1.3354,                0.74081,                 1.1929,                  0.948,                0.85182,                0.92344,                0.59192,                 1.2852,                0.65901,                 1.1452,             0.00058305,             0.00058305,             0.00058305
                     14,                  1.303,                0.72869,                 1.1776,                0.88311,                0.83568,                0.88836,                0.55411,                 1.3112,                0.69633,                 1.2055,             0.00053906,             0.00053906,             0.00053906
                     15,                  1.265,                0.65271,                 1.1882,                0.93356,                0.84313,                0.92528,                0.60465,                 1.2523,                0.65694,                 1.1354,             0.00049506,             0.00049506,             0.00049506
                     16,                  1.231,                0.63435,                 1.1587,                  0.932,                0.86889,                0.93247,                0.61872,                 1.2154,                0.63826,                 1.1236,             0.00045107,             0.00045107,             0.00045107
                     17,                 1.2633,                0.63797,                 1.1865,                0.90787,                0.85327,                 0.9141,                 0.5839,                  1.229,                 0.6841,                 1.1393,             0.00040707,             0.00040707,             0.00040707
                     18,                 1.2183,                0.60585,                   1.15,                0.90746,                0.85433,                0.90399,                0.57228,                 1.2467,                0.66994,                 1.1261,             0.00036307,             0.00036307,             0.00036307
                     19,                  1.208,                0.60116,                 1.1457,                 0.8939,                0.87782,                  0.919,                0.60561,                 1.1661,                0.62077,                 1.1059,             0.00031908,             0.00031908,             0.00031908
                     20,                 1.1536,                0.57886,                   1.13,                0.90921,                0.86798,                0.91694,                0.62013,                 1.1541,                0.60749,                  1.101,             0.00027508,             0.00027508,             0.00027508
                     21,                 1.1412,                0.56072,                 1.1217,                 0.9023,                0.86029,                0.91566,                 0.6151,                 1.1672,                0.60692,                 1.1055,             0.00023109,             0.00023109,             0.00023109
                     22,                 1.1201,                0.55878,                 1.1086,                0.92448,                0.87685,                 0.9245,                0.61541,                 1.1608,                0.62279,                 1.0986,             0.00018709,             0.00018709,             0.00018709
                     23,                 1.1161,                0.55968,                 1.1146,                0.90476,                0.86636,                0.90965,                0.62292,                  1.167,                0.61846,                 1.1109,              0.0001431,              0.0001431,              0.0001431
                     24,                 1.0919,                0.55173,                 1.1055,                0.89554,                0.87291,                0.90694,                 0.6256,                 1.1514,                0.61999,                 1.1092,             9.9101e-05,             9.9101e-05,             9.9101e-05
