                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5623,                0.90208,                 1.3079,                0.93376,                0.86764,                 0.9154,                0.59948,                 1.2525,                0.66947,                  1.107,              0.0002222,              0.0002222,              0.0002222
                      1,                 1.4939,                 0.8625,                 1.2545,                0.85857,                0.81849,                0.87462,                0.54782,                 1.3047,                 0.7525,                 1.1369,             0.00044048,             0.00044048,             0.00044048
                      2,                 1.5052,                0.85875,                 1.2627,                0.87291,                0.82926,                0.90119,                0.53075,                 1.3274,                0.78618,                 1.1544,             0.00064336,             0.00064336,             0.00064336
                      3,                 1.4354,                0.84706,                  1.216,                  0.863,                0.82448,                0.89254,                 0.5431,                 1.3362,                0.79462,                 1.1347,             0.00083084,             0.00083084,             0.00083084
                      4,                  1.468,                0.88552,                 1.2418,                0.90323,                0.85362,                0.91128,                0.55145,                 1.3465,                0.79661,                 1.1707,             0.00096435,             0.00096435,             0.00096435
                      5,                 1.4559,                0.84862,                 1.2442,                0.89511,                0.83169,                0.89369,                0.51479,                 1.3656,                0.78694,                 1.2227,             0.00096435,             0.00096435,             0.00096435
                      6,                 1.4268,                 0.8425,                 1.2253,                 0.9017,                0.80431,                0.88746,                0.53783,                 1.2872,                0.76588,                 1.1771,             0.00092769,             0.00092769,             0.00092769
                      7,                 1.4125,                0.83295,                 1.2302,                0.87197,                0.84243,                0.90304,                0.53381,                 1.3278,                0.85566,                 1.1987,             0.00089102,             0.00089102,             0.00089102
                      8,                 1.4799,                0.85003,                 1.2582,                0.88605,                0.79272,                0.87409,                0.50953,                 1.3609,                0.80933,                 1.2066,             0.00085436,             0.00085436,             0.00085436
                      9,                 1.4438,                 0.8251,                  1.239,                0.85657,                0.77504,                0.84452,                 0.5082,                 1.3707,                0.87145,                 1.2122,              0.0008177,              0.0008177,              0.0008177
                     10,                  1.393,                0.77091,                 1.2262,                 0.8981,                0.83843,                 0.9016,                0.52404,                 1.4384,                0.79913,                 1.2599,             0.00078103,             0.00078103,             0.00078103
                     11,                  1.407,                0.79747,                 1.2129,                0.86416,                0.81394,                0.87969,                0.52579,                 1.3807,                0.76453,                 1.1719,             0.00074437,             0.00074437,             0.00074437
                     12,                 1.3444,                0.77827,                 1.1651,                0.89762,                0.87079,                0.91048,                0.57672,                 1.2299,                0.68356,                 1.1267,             0.00070771,             0.00070771,             0.00070771
                     13,                 1.3231,                0.73967,                 1.1873,                0.91376,                0.86782,                0.93261,                0.56919,                 1.3255,                0.67633,                 1.1939,             0.00067104,             0.00067104,             0.00067104
                     14,                 1.3176,                0.74232,                 1.1848,                0.89005,                0.84493,                 0.8978,                0.56285,                 1.2887,                0.72011,                 1.1772,             0.00063438,             0.00063438,             0.00063438
                     15,                 1.3242,                 0.7318,                 1.1635,                0.91735,                0.88496,                 0.9431,                0.56733,                  1.267,                0.68162,                 1.1499,             0.00059772,             0.00059772,             0.00059772
                     16,                 1.3087,                0.70558,                 1.1662,                0.86703,                0.90634,                0.91793,                0.57313,                 1.2305,                0.66891,                 1.1486,             0.00056105,             0.00056105,             0.00056105
