                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1247,                  2.947,                0.41494,                 3.2046,                 1.1337,                0.29991,                0.39243,                0.38364,                0.28676,                 0.2879,                0.37728,                  0.353,                0.22344,                0.90766,                 1.9732,                0.17045,                 2.5976,                 1.0104,               6.25e-05,               6.25e-05,               6.25e-05
                      1,                 1.0188,                 2.3841,                0.24029,                 2.5984,                 1.1058,                0.34445,                0.86421,                0.41802,                0.32216,                0.33692,                0.84906,                0.40254,                0.24017,                0.83063,                 1.9266,                0.11313,                 2.0224,                0.99151,             0.00013478,             0.00013478,             0.00013478
                      2,                  0.935,                 2.3388,                0.24744,                 1.9567,                 1.0791,                0.38214,                0.82612,                0.47995,                0.38542,                0.37407,                0.81025,                0.46516,                0.28834,                0.72822,                 1.9035,                0.09943,                 2.5598,                0.92121,             0.00020408,             0.00020408,             0.00020408
                      3,                0.91148,                 2.0987,                 0.2315,                 1.8181,                 1.0585,                 0.3767,                0.84199,                0.47479,                0.39875,                   0.38,                0.81629,                0.46727,                0.28581,                0.68493,                 1.7183,                0.09874,                 2.2614,                 0.8909,             0.00027042,             0.00027042,             0.00027042
                      4,                0.84879,                 2.0984,                0.19207,                 1.7083,                 1.0208,                0.38832,                0.87057,                0.57864,                0.47501,                0.37882,                0.84242,                0.56708,                0.33732,                0.70871,                 1.9006,                 0.0997,                 2.4224,                0.89119,             0.00033379,             0.00033379,             0.00033379
                      5,                0.84266,                 1.7937,                0.17843,                 1.6185,                 1.0087,                0.40873,                0.86566,                0.58063,                 0.4722,                0.38463,                0.77112,                0.52847,                0.33189,                0.70158,                 2.1175,                0.10257,                 2.5564,                0.89197,             0.00039419,             0.00039419,             0.00039419
                      6,                0.81136,                 1.7981,                0.18055,                 1.5549,                 0.9991,                0.56333,                0.82727,                0.69847,                0.49199,                0.56333,                0.82727,                0.69847,                0.37601,                0.93907,                 1.8829,                0.10516,                  2.296,                0.99378,             0.00045161,             0.00045161,             0.00045161
                      7,                0.87662,                 1.9419,                0.17653,                 1.5086,                  1.016,                0.55001,                0.81991,                0.65727,                0.49052,                0.55268,                0.81898,                0.65219,                0.36028,                0.77521,                 1.8576,                0.12661,                  2.161,                0.97306,             0.00050607,             0.00050607,             0.00050607
                      8,                0.85414,                 1.8489,                0.19548,                 1.5035,                 1.0006,                0.50287,                0.83463,                0.65793,                 0.5033,                0.50287,                0.83463,                0.64663,                0.34301,                0.82683,                 2.1233,                0.15335,                 2.0428,                 0.9583,             0.00055756,             0.00055756,             0.00055756
                      9,                0.78497,                 1.8489,                0.17635,                 1.4385,                 0.9747,                0.63071,                 0.6596,                0.66497,                0.50989,                0.64007,                0.63752,                 0.6353,                0.38175,                0.79807,                 1.9633,                 0.1282,                 1.6242,                0.95778,             0.00060608,             0.00060608,             0.00060608
                     10,                0.83864,                 1.9735,                0.17354,                 1.4395,                0.99343,                 0.5502,                0.73915,                0.68377,                0.53676,                0.53584,                0.72078,                0.66381,                0.39332,                0.77888,                 1.9202,                0.11192,                 1.5744,                 0.9379,             0.00065163,             0.00065163,             0.00065163
                     11,                0.83228,                 1.8306,                 0.1546,                 1.3911,                 1.0006,                0.61906,                0.77647,                 0.7513,                0.55112,                0.61184,                 0.7606,                0.74057,                0.42341,                0.82623,                 1.8946,                0.10723,                  1.479,                0.96289,              0.0006942,              0.0006942,              0.0006942
                     12,                0.82812,                 2.0079,                0.17562,                 1.3928,                0.99226,                0.53764,                0.85796,                 0.7838,                 0.5957,                0.53027,                0.84225,                0.76863,                0.44053,                0.81826,                 1.8359,                0.08539,                 1.4261,                0.96999,             0.00073381,             0.00073381,             0.00073381
                     13,                0.79806,                 1.9737,                0.16696,                 1.3392,                0.99771,                0.62468,                0.80064,                0.77455,                0.59713,                0.62468,                0.80064,                0.77455,                0.40926,                0.77874,                 1.9891,                0.07252,                 1.4227,                0.94335,             0.00077045,             0.00077045,             0.00077045
                     14,                0.83884,                 1.9218,                0.16662,                 1.3065,                 1.0038,                0.63113,                0.77104,                0.77166,                0.59682,                0.63113,                0.77104,                0.77166,                0.44245,                0.79947,                 1.7645,                0.07152,                 1.3951,                0.94968,             0.00080412,             0.00080412,             0.00080412
