                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4283,                 3.5017,                 3.8125,                 1.4121,                0.03273,                0.60256,                0.15404,                0.10146,                0.03178,                0.57585,                0.15727,                0.08155,                 1.1737,                 2.4347,                 3.8024,                 1.1269,                  8e-05,                  8e-05,                  8e-05
                      1,                 1.0307,                 2.1904,                 3.1831,                 1.1203,                0.02499,                0.61538,                0.31545,                0.24308,                0.02469,                 0.6015,                0.30585,                0.22167,                 1.0287,                 1.8363,                 3.6784,                 1.0472,             0.00016327,             0.00016327,             0.00016327
                      2,                0.99139,                 1.8079,                 2.2795,                 1.0909,                0.79912,                 0.3644,                0.33353,                0.27526,                0.76798,                0.28288,                0.32619,                  0.258,                 1.0146,                 1.6791,                 3.3364,                 1.0386,             0.00023941,             0.00023941,             0.00023941
                      3,                0.91013,                 1.6121,                 1.6934,                 1.0558,                0.06239,                0.64974,                0.35795,                 0.2798,                0.06209,                0.63352,                0.35045,                0.26349,                0.98989,                 1.6294,                 3.2064,                 1.0631,             0.00030842,             0.00030842,             0.00030842
                      4,                0.89318,                 1.4813,                 1.5179,                 1.0382,                0.79712,                0.32509,                0.36089,                0.29781,                0.81025,                0.33898,                0.36001,                0.28381,                 1.0519,                 1.5611,                 2.8559,                 1.0449,              0.0003703,              0.0003703,              0.0003703
                      5,                0.89289,                  1.512,                 1.3872,                 1.0426,                0.78363,                0.36595,                0.42897,                0.35588,                0.79383,                0.37798,                0.43701,                0.33327,                0.94298,                 1.5134,                 2.4729,                0.98874,             0.00042506,             0.00042506,             0.00042506
                      6,                0.82317,                 1.4475,                 1.2824,                0.99747,                0.75688,                0.36069,                  0.432,                0.35443,                0.76715,                0.37458,                0.43193,                0.34063,                0.96884,                 1.4964,                 2.4314,                 1.0294,             0.00047269,             0.00047269,             0.00047269
                      7,                0.85091,                 1.3752,                 1.2353,                 1.0094,                0.64137,                0.38605,                0.59787,                0.46782,                0.64137,                0.38605,                0.59239,                0.43786,                0.95226,                 1.4707,                  2.378,                 1.0052,             0.00051319,             0.00051319,             0.00051319
                      8,                0.83633,                 1.3793,                 1.1884,                0.99335,                0.60811,                0.42463,                  0.616,                0.46523,                0.60811,                0.42463,                0.61678,                 0.4558,                0.93548,                 1.5719,                 2.2778,                0.99224,             0.00054656,             0.00054656,             0.00054656
                      9,                0.82128,                 1.3214,                 1.2132,                0.99027,                0.57636,                0.48527,                0.66774,                0.49887,                0.57636,                0.48527,                0.65997,                 0.4622,                0.99675,                 1.4078,                 1.9688,                 1.0339,              0.0005728,              0.0005728,              0.0005728
                     10,                0.79817,                 1.3097,                   1.11,                0.98063,                0.62269,                0.68364,                0.68292,                0.50359,                0.61819,                0.66975,                0.67733,                0.47492,                0.99175,                 1.4382,                 1.7164,                  1.007,             0.00059192,             0.00059192,             0.00059192
                     11,                0.78796,                 1.2259,                 1.0833,                0.97109,                0.66324,                0.76074,                0.73529,                0.54814,                0.64859,                0.74179,                0.71554,                0.49358,                0.91221,                 1.4245,                 1.5645,                0.96668,              0.0005644,              0.0005644,              0.0005644
